fecha,cliente,segmento,pais,ciudad,responsable_cuenta,producto,plan,canal,estado,ingresos,cantidad,margen_bruto,tickets_soporte,nps,riesgo_churn,comentarios
2025-01-01,Cliente 082,Pyme,Chile,Santiago,Luis Rivera,Automatización,Escala,Entrada,Expansión,1499.83,4,755.55,1,5,33.3,Bajo uso durante el último mes
2025-01-02,Cliente 029,Pyme,Colombia,Bogotá,Luis Rivera,Soporte IA,Crecimiento,Aliado,Activo,695.72,2,483.43,2,7,19.2,El cliente pidió reportes más rápidos y dashboards más claros
2025-01-03,Cliente 059,Mediana empresa,Estados Unidos,Austin,Ana Torres,Pagos,Inicio,Prospección,Activo,1629.88,8,818.27,0,7,0,Varios tickets sobre confiabilidad de la integración
2025-01-04,Cliente 021,Pyme,Colombia,Medellín,Ana Torres,Pagos,Crecimiento,Aliado,Expansión,606.63,4,337.65,3,6,40.1,El cliente pidió reportes más rápidos y dashboards más claros
2025-01-05,Cliente 030,Mediana empresa,Perú,Arequipa,Carlos Méndez,Analítica,Inicio,Prospección,Activo,1299.94,4,846.82,1,7,17.9,Bajo uso durante el último mes
2025-01-06,Cliente 075,Pyme,Colombia,Bogotá,Daniel Ortiz,Soporte IA,Inicio,Entrada,Activo,689.05,4,327.31,2,8,15.9,Está satisfecho con la automatización pero quiere más campos del CRM
2025-01-07,Cliente 068,Pyme,México,CDMX,Ana Torres,Pagos,Escala,Prospección,Activo,835.36,1,637.69,1,8,5.0,Sponsor ejecutivo positivo y oportunidad de expansión
2025-01-08,Cliente 082,Pyme,Colombia,Medellín,Luis Rivera,Pagos,Enterprise,Entrada,En riesgo,1671.3,2,995.92,2,7,31.7,Preocupación de precio durante la conversación de renovación
2025-01-09,Cliente 008,Pyme,México,CDMX,Ana Torres,Soporte IA,Escala,Aliado,Activo,1024.99,1,528.3,1,8,0,Preocupación de precio durante la conversación de renovación
2025-01-10,Cliente 040,Pyme,Chile,Valparaíso,Sofía Vega,Pagos,Crecimiento,Aliado,Activo,612.8,2,331.96,0,6,6.4,Preocupación de precio durante la conversación de renovación
2025-01-11,Cliente 009,Enterprise,Perú,Lima,Daniel Ortiz,Automatización,Inicio,Referido,En riesgo,5202.6,21,3254.62,4,2,86.1,Alta adopción por parte del equipo de operaciones
2025-01-12,Cliente 085,Pyme,México,Guadalajara,Ana Torres,Analítica,Inicio,Prospección,Activo,796.69,4,365.95,1,9,0,Alta adopción por parte del equipo de operaciones
2025-01-13,Cliente 057,Mediana empresa,Perú,Lima,Ana Torres,Pagos,Escala,Entrada,Activo,4050.83,9,2409.56,0,7,0,Sponsor ejecutivo positivo y oportunidad de expansión
2025-01-14,Cliente 059,Pyme,Chile,Valparaíso,Luis Rivera,Automatización,Inicio,Entrada,Activo,722.39,5,444.41,1,6,22.7,Necesita apoyo de onboarding y documentación más clara
2025-01-15,Cliente 008,Enterprise,Colombia,Bogotá,Ana Torres,Pagos,Inicio,Aliado,Activo,4776.27,20,3001.46,1,7,16.1,Sponsor ejecutivo positivo y oportunidad de expansión
2025-01-16,Cliente 027,Mediana empresa,Colombia,Medellín,Sofía Vega,Automatización,Escala,Prospección,Activo,4281.39,9,3230.08,1,6,23.4,Alta adopción por parte del equipo de operaciones
2025-01-17,Cliente 010,Mediana empresa,México,CDMX,Carlos Méndez,Analítica,Escala,Prospección,Expansión,2826.17,6,1494.78,1,10,0,Alta adopción por parte del equipo de operaciones
2025-01-18,Cliente 018,Pyme,Perú,Lima,Carlos Méndez,Sincronización CRM,Crecimiento,Prospección,Expansión,529.14,3,343.06,0,9,0,Bajo uso durante el último mes
2025-01-19,Cliente 036,Pyme,Colombia,Bogotá,Carlos Méndez,Automatización,Escala,Referido,Activo,1300.56,7,869.77,3,6,36.4,Bajo uso durante el último mes
2025-01-20,Cliente 017,Pyme,Colombia,Bogotá,Carlos Méndez,Automatización,Escala,Entrada,En riesgo,1140.69,4,709.01,3,2,76.0,Preocupación de precio durante la conversación de renovación
2025-01-21,Cliente 021,Enterprise,Perú,Arequipa,Ana Torres,Automatización,Escala,Prospección,Activo,17465.77,15,11957.43,3,6,43.0,El cliente pidió reportes más rápidos y dashboards más claros
2025-01-22,Cliente 061,Pyme,Perú,Arequipa,Carlos Méndez,Sincronización CRM,Escala,Aliado,Expansión,770.24,5,506.52,0,8,0,Bajo uso durante el último mes
2025-01-23,Cliente 087,Enterprise,México,CDMX,Ana Torres,Sincronización CRM,Inicio,Prospección,En riesgo,3825.58,16,2689.82,1,2,45.3,Preocupación de precio durante la conversación de renovación
2025-01-24,Cliente 033,Pyme,México,Monterrey,Daniel Ortiz,Automatización,Crecimiento,Entrada,En riesgo,1214.16,6,912.41,0,5,12.5,Bajo uso durante el último mes
2025-01-25,Cliente 042,Pyme,Colombia,Bogotá,Luis Rivera,Soporte IA,Crecimiento,Referido,Activo,935.54,6,494.29,0,7,0,Varios tickets sobre confiabilidad de la integración
2025-01-26,Cliente 060,Pyme,Chile,Valparaíso,Luis Rivera,Analítica,Inicio,Prospección,Expansión,459.08,3,350.15,1,8,11.1,Está satisfecho con la automatización pero quiere más campos del CRM
2025-01-27,Cliente 079,Enterprise,Colombia,Medellín,Daniel Ortiz,Automatización,Escala,Referido,Activo,12974.94,18,5475.37,4,6,40.1,Necesita apoyo de onboarding y documentación más clara
2025-01-28,Cliente 090,Pyme,Colombia,Bogotá,Ana Torres,Soporte IA,Inicio,Referido,Activo,710.75,1,551.29,0,4,35.8,Bajo uso durante el último mes
2025-01-29,Cliente 071,Pyme,Colombia,Medellín,Sofía Vega,Sincronización CRM,Escala,Prospección,Activo,1296.56,1,672.73,0,8,0,Necesita apoyo de onboarding y documentación más clara
2025-01-30,Cliente 020,Pyme,Chile,Santiago,Ana Torres,Soporte IA,Crecimiento,Referido,Expansión,878.19,4,434.23,0,9,0,Bajo uso durante el último mes
2025-01-31,Cliente 062,Pyme,Colombia,Medellín,Sofía Vega,Pagos,Escala,Aliado,En riesgo,1050.9,3,588.49,2,5,42.5,Necesita apoyo de onboarding y documentación más clara
2025-02-01,Cliente 080,Mediana empresa,Estados Unidos,Nueva York,Daniel Ortiz,Analítica,Inicio,Referido,Activo,1355.72,5,794.74,2,7,16.2,Bajo uso durante el último mes
2025-02-02,Cliente 036,Mediana empresa,Perú,Arequipa,Ana Torres,Soporte IA,Inicio,Entrada,Activo,2502.69,7,1755.0,2,4,55.0,El cliente pidió reportes más rápidos y dashboards más claros
2025-02-03,Cliente 080,Pyme,Colombia,Cali,Ana Torres,Pagos,Enterprise,Referido,Activo,1973.66,1,1373.83,2,8,19.0,Sponsor ejecutivo positivo y oportunidad de expansión
